"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.215565200E-1,-7.016928792E-1,-3.833677769E-1,-8.122014999E-1
1.393808620E-1,-7.749111652E-1,-2.812225819E-1,-8.914690018E-1
1.572039810E-1,-8.611444831E-1,-2.686707973E-1,-7.324838638E-1
1.750271020E-1,-7.491704822E-1,1.374864578E-2,-5.552597046E-1
1.928515640E-1,-6.535848975E-1,1.773443222E-1,-7.409095764E-3
2.106771870E-1,-7.799079418E-1,1.141152382E-1,3.695297241E-2
2.284989640E-1,-5.804855824E-1,1.965250969E-1,2.996034622E-1
2.463184830E-1,-5.043683052E-1,2.100031376E-1,6.892347336E-1
2.641469740E-1,-5.944806337E-1,1.518322229E-1,5.387897491E-1
2.819660670E-1,-4.794720411E-1,2.958717346E-1,6.013288498E-1
2.997940690E-1,-2.461996973E-1,5.087801218E-1,3.636236191E-1
3.176180440E-1,-2.349710613E-1,4.259216785E-1,3.389034271E-1
3.354418960E-1,-2.784643471E-1,2.338919640E-1,2.839126587E-1
3.532663590E-1,-2.832433581E-1,1.979813576E-1,3.211860657E-1
3.710877700E-1,-3.459948003E-1,1.217187643E-1,3.306913376E-1
3.889142470E-1,-4.618814886E-1,-4.636573792E-2,2.269220352E-1
4.067370010E-1,-3.114135861E-1,1.460624933E-1,3.278408051E-1
4.245434580E-1,-3.057515025E-1,1.634109020E-1,1.349000931E-1
4.423836690E-1,-8.125081658E-2,3.901230097E-1,3.183870316E-1
4.602052630E-1,2.265924215E-2,5.785980225E-1,7.751369476E-1
4.780348530E-1,-2.710206509E-1,5.321794748E-1,9.083814621E-1
4.958547990E-1,-3.675969243E-1,6.587125063E-1,1.239356995E0
5.136754170E-1,-4.073941410E-1,5.372753143E-1,1.334088326E0
5.315028700E-1,-3.258776665E-2,4.853215218E-1,1.711865425E0
5.493232440E-1,2.434111238E-1,1.716548204E-1,2.444678307E0
5.671507580E-1,3.630250096E-1,-2.164165974E-1,3.255671501E0
5.849741230E-1,2.972229123E-1,-4.826816320E-1,3.341053963E0
6.027965110E-1,4.009580612E-2,-4.431052208E-1,2.476711273E0
6.206229880E-1,-4.641908407E-2,-4.356266260E-1,1.017488480E0
6.384454360E-1,-2.841601968E-1,-7.185199261E-1,-2.312021255E-1
6.562697770E-1,-5.272712111E-1,-1.154859424E0,-9.523048401E-1
6.740929580E-1,-5.430625677E-1,-1.667379260E0,-1.602978230E0
6.919166890E-1,-1.701422334E-1,-1.953642726E0,-1.746617794E0
7.097406630E-1,6.484948993E-1,-1.952795982E0,-1.316181183E0
7.275638440E-1,1.154340267E0,-2.189269543E0,-3.015909195E-1
7.453878800E-1,1.405784607E0,-2.129035234E0,2.221984863E-1
7.632114270E-1,1.604941607E0,-1.511637449E0,2.538261414E-1
7.810353410E-1,1.758582115E0,-4.104056358E-1,-5.426769257E-1
7.988461320E-1,1.452388287E0,7.245945930E-2,-1.078802109E0
8.166798110E-1,7.901592255E-1,5.831813812E-2,-1.494474411E0
8.345053730E-1,5.734789371E-2,-2.629837990E-1,-1.498651981E0
8.523270890E-1,-3.794469237E-1,-4.494338036E-1,-1.520714283E0
8.701534440E-1,-6.001435518E-1,-6.780116558E-1,-1.305176735E0
8.879774800E-1,-7.682742476E-1,-8.520445824E-1,-1.302686691E0
9.058012100E-1,-5.256704092E-1,-9.073290825E-1,-8.777608871E-1
9.236249400E-1,-3.170209229E-1,-9.311337471E-1,-6.422891617E-1
9.414484270E-1,-2.750608325E-2,-9.349107742E-1,-5.348701477E-1
9.592728290E-1,1.085028052E-1,-1.049165726E0,-3.582096100E-1
9.770961930E-1,4.175243974E-1,-7.423913479E-1,-7.381772995E-1
9.949201670E-1,8.663505912E-1,-1.687893867E-1,-1.145522118E0
1.012743288E0,1.272604942E0,5.256676674E-1,-1.336261749E0
1.030567506E0,1.498264790E0,9.347445965E-1,-8.905467987E-1
1.048386232E0,1.313514352E0,8.934822083E-1,-3.017749786E-1
1.066214723E0,1.016615391E0,9.394466877E-1,-1.147642136E-1
1.084038271E0,9.411387444E-1,1.231208086E0,1.295394897E-1
1.101860964E0,9.509215355E-1,1.330565453E0,7.521352768E-1
1.119682375E0,4.949702024E-1,9.613132477E-1,1.588189125E0
1.137508486E0,-1.663430035E-1,1.376848221E-1,2.340692520E0
1.155330019E0,-5.885578990E-1,-6.798224449E-1,3.034759521E0
1.173156923E0,-7.914940715E-1,-7.720990181E-1,3.235057831E0
1.190980653E0,-1.095329523E0,1.730227470E-1,2.186345100E0
1.208804628E0,-1.119933963E0,6.080372334E-1,3.374214172E-1
1.226627565E0,-1.113499403E-1,6.455373764E-2,1.226817131E0
1.244451845E0,1.623554081E-1,-2.018053532E0,4.248373032E0
1.262275575E0,-4.714971781E-1,-3.719912052E0,5.559408188E0
1.280099368E0,-8.434693813E-1,-3.805934191E0,2.769386292E0
1.297922426E0,-7.953798771E-1,-2.430648804E0,-7.201356888E-1
1.315746339E0,-9.652122259E-1,-1.733009100E0,-2.758401394E0
1.333570192E0,-7.467218041E-1,-1.476479292E0,-2.805113792E0
